produit_nom,prix,note,avis_texte
Smartphone Samsung Galaxy S24,1044 FCFA,5,"Livraison rapide, produit conforme à la description."
Smartphone Samsung Galaxy S24,960 FCFA,3,"Design magnifique, mais prise en main difficile au début."
Smartphone Samsung Galaxy S24,453 FCFA,4,"Attention, la batterie tient moins longtemps que prévu."
Smartphone Samsung Galaxy S24,638 FCFA,5,"Design magnifique, mais prise en main difficile au début."
iPhone 15 Pro Max,740 FCFA,4,Un peu cher mais la performance est au rendez-vous.
iPhone 15 Pro Max,86 FCFA,3,"Livraison rapide, produit conforme à la description."
iPhone 15 Pro Max,1095 FCFA,5,"Produit fragile, reçu avec un petit défaut, mais SAV réactif."
iPhone 15 Pro Max,1016 FCFA,5,"Très bon rapport qualité/prix, je rachèterai chez ce vendeur."
Casque Sony WH-1000XM5,288 FCFA,5,"Je suis déçu, le produit ne correspond pas à mes attentes."
Casque Sony WH-1000XM5,464 FCFA,3,"Parfait pour mon utilisation quotidienne, je valide."
Casque Sony WH-1000XM5,978 FCFA,2,"Rapport qualité prix excellent, très satisfait."
Casque Sony WH-1000XM5,1385 FCFA,2,"Très bon rapport qualité/prix, je rachèterai chez ce vendeur."
Casque Sony WH-1000XM5,1307 FCFA,4,"Attention, la batterie tient moins longtemps que prévu."
Montre Connectée Apple Watch,1025 FCFA,2,"Rapport qualité prix excellent, très satisfait."
Montre Connectée Apple Watch,492 FCFA,5,"Parfait pour mon utilisation quotidienne, je valide."
Montre Connectée Apple Watch,240 FCFA,3,Un peu cher mais la performance est au rendez-vous.
Montre Connectée Apple Watch,95 FCFA,2,Un peu cher mais la performance est au rendez-vous.
PC Portable Dell XPS 13,220 FCFA,5,"Livraison rapide, produit conforme à la description."
PC Portable Dell XPS 13,469 FCFA,5,"Produit fragile, reçu avec un petit défaut, mais SAV réactif."
PC Portable Dell XPS 13,1207 FCFA,4,"Rapport qualité prix excellent, très satisfait."
PC Portable Dell XPS 13,677 FCFA,2,"Je suis déçu, le produit ne correspond pas à mes attentes."
PC Portable Dell XPS 13,289 FCFA,2,"Qualité incroyable, je recommande vivement !"
Écran Gaming 4K,568 FCFA,3,Un peu cher mais la performance est au rendez-vous.
Écran Gaming 4K,383 FCFA,4,"Rapport qualité prix excellent, très satisfait."
Écran Gaming 4K,1099 FCFA,4,"Rapport qualité prix excellent, très satisfait."
Écran Gaming 4K,1317 FCFA,2,Un peu cher mais la performance est au rendez-vous.
Clavier Mécanique RGB,576 FCFA,2,Un peu cher mais la performance est au rendez-vous.
Clavier Mécanique RGB,414 FCFA,4,"Design magnifique, mais prise en main difficile au début."
Clavier Mécanique RGB,499 FCFA,5,"Très bon rapport qualité/prix, je rachèterai chez ce vendeur."
Souris Logitech MX Master,1463 FCFA,5,"Produit fragile, reçu avec un petit défaut, mais SAV réactif."
Souris Logitech MX Master,1185 FCFA,3,"Qualité incroyable, je recommande vivement !"
Souris Logitech MX Master,1295 FCFA,3,"Livraison rapide, produit conforme à la description."
Souris Logitech MX Master,1361 FCFA,5,"Je suis déçu, le produit ne correspond pas à mes attentes."
Souris Logitech MX Master,1000 FCFA,4,"Produit fragile, reçu avec un petit défaut, mais SAV réactif."
Enceinte Bluetooth JBL,844 FCFA,5,Un peu cher mais la performance est au rendez-vous.
Enceinte Bluetooth JBL,1231 FCFA,3,"Attention, la batterie tient moins longtemps que prévu."
Enceinte Bluetooth JBL,575 FCFA,2,"Livraison rapide, produit conforme à la description."
Tablette iPad Air,316 FCFA,4,"Livraison rapide, produit conforme à la description."
Tablette iPad Air,440 FCFA,4,"Je suis déçu, le produit ne correspond pas à mes attentes."
Tablette iPad Air,165 FCFA,2,"Rapport qualité prix excellent, très satisfait."
Tablette iPad Air,756 FCFA,3,"Qualité incroyable, je recommande vivement !"
Chargeur Rapide 65W,837 FCFA,3,"Livraison rapide, produit conforme à la description."
Chargeur Rapide 65W,492 FCFA,3,"Design magnifique, mais prise en main difficile au début."
Chargeur Rapide 65W,855 FCFA,4,"Rapport qualité prix excellent, très satisfait."
Chargeur Rapide 65W,118 FCFA,4,"Rapport qualité prix excellent, très satisfait."
Câble USB-C Premium,1415 FCFA,3,"Qualité incroyable, je recommande vivement !"
Câble USB-C Premium,1050 FCFA,5,"Rapport qualité prix excellent, très satisfait."
Câble USB-C Premium,259 FCFA,4,Un peu cher mais la performance est au rendez-vous.
Câble USB-C Premium,871 FCFA,3,"Parfait pour mon utilisation quotidienne, je valide."
Lunettes VR Meta Quest,654 FCFA,4,"Design magnifique, mais prise en main difficile au début."
Lunettes VR Meta Quest,1109 FCFA,2,"Rapport qualité prix excellent, très satisfait."
Lunettes VR Meta Quest,434 FCFA,5,Un peu cher mais la performance est au rendez-vous.
Lunettes VR Meta Quest,819 FCFA,2,"Produit fragile, reçu avec un petit défaut, mais SAV réactif."
Lunettes VR Meta Quest,463 FCFA,5,Un peu cher mais la performance est au rendez-vous.
Routeur Wi-Fi 6,1174 FCFA,3,"Rapport qualité prix excellent, très satisfait."
Routeur Wi-Fi 6,420 FCFA,3,Un peu cher mais la performance est au rendez-vous.
Routeur Wi-Fi 6,43 FCFA,5,"Parfait pour mon utilisation quotidienne, je valide."
Routeur Wi-Fi 6,914 FCFA,3,"Livraison rapide, produit conforme à la description."
Routeur Wi-Fi 6,388 FCFA,5,"Très bon rapport qualité/prix, je rachèterai chez ce vendeur."
Disque SSD Externe 1To,305 FCFA,2,"Rapport qualité prix excellent, très satisfait."
Disque SSD Externe 1To,953 FCFA,3,"Parfait pour mon utilisation quotidienne, je valide."
Disque SSD Externe 1To,159 FCFA,5,"Design magnifique, mais prise en main difficile au début."
